X0 Y0 X1 Y1 X2 Y2 X3 Y3 X4 Y4 X5 Y5 X6 Y6 X7 Y7 X8 Y8 X9 Y9 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 40.0 
41.5 40.0 41.5 41.5 41.5 41.5 41.5 40.0 41.5 40.0 41.5 41.5 41.5 40.0 41.5 40.0 41.5 40.0 41.5 41.5 
43.0 40.0 43.0 43.0 43.0 43.0 43.0 40.0 43.0 40.0 43.0 43.0 43.0 40.0 43.0 40.0 43.0 40.0 43.0 43.0 
44.5 40.0 44.5 44.5 44.5 44.5 44.5 40.0 44.5 40.0 44.5 44.5 44.5 40.0 44.5 40.0 44.5 40.0 44.5 44.5 
46.0 40.0 46.0 46.0 46.0 46.0 46.0 40.0 46.0 40.0 46.0 46.0 46.0 40.0 46.0 40.0 46.0 40.0 46.0 46.0 
47.5 40.0 47.5 47.5 47.5 47.5 47.5 40.0 47.5 40.0 47.5 47.5 47.5 40.0 47.5 40.0 47.5 40.0 47.5 47.5 
49.0 40.0 49.0 49.0 49.0 49.0 49.0 40.0 49.0 40.0 49.0 49.0 49.0 40.0 49.0 40.0 49.0 40.0 49.0 49.0 
50.5 40.0 50.5 50.5 50.5 50.5 50.5 40.0 50.5 40.0 50.5 50.5 50.5 40.0 50.5 40.0 50.5 40.0 50.5 50.5 
52.0 40.0 52.0 52.0 52.0 52.0 52.0 40.0 52.0 40.0 52.0 52.0 52.0 40.0 52.0 40.0 52.0 40.0 52.0 52.0 
53.5 40.0 53.5 53.5 53.5 53.5 53.5 40.0 53.5 40.0 53.5 53.5 53.5 40.0 53.5 40.0 53.5 40.0 53.5 53.5 
55.0 40.0 55.0 55.0 55.0 55.0 55.0 40.0 55.0 40.0 55.0 55.0 55.0 40.0 55.0 40.0 55.0 40.0 55.0 55.0 
